,Unnamed: 0,J,2,3,4,5,6,7,8,9,10,11,12,popup,lat,lon
0,0,1.35739856801909,6.1,12.6,4.8,0.3,0.0,0.1,0.0,0.0,0.3,3.0,6.9,アブダビ国際空港 - アラブ首長国連邦 ,24.43,54.65
1,1,2.4164677804295898,16.1,26.4,21.8,1.5,4.6,1.4,44.4,0.0,8.3,32.8,25.9,アバダーン - イラン ,30.37,48.25
2,2,2.6700477326969,13.6,29.8,30.6,10.3,2.3,0.9,0.2,0.1,3.4,24.6,14.3,イスファハーン - イラン ,32.52,51.71
3,3,6.99582338902148,24.6,48.7,67.0,34.9,10.8,2.1,45.9,4.8,28.8,38.8,40.8,ウルミエ - イラン ,37.65,45.05
4,4,3.11754176610979,22.2,21.1,30.2,5.7,0.0,0.6,0.5,0.2,3.3,6.8,12.9,ケルマーン - イラン ,30.25,56.97
5,5,6.51849642004773,52.2,100.7,73.0,24.6,1.5,0.2,6.8,2.3,86.5,58.3,41.2,ケルマーンシャー - イラン ,34.35,47.15
6,6,2.61038186157518,9.0,14.6,16.1,3.8,2.6,0.2,5.8,0.0,3.8,2.1,21.0,ザーヘダーン - イラン ,29.47,60.88
7,7,9.09904534606205,37.0,43.3,41.0,5.8,0.7,0.7,0.7,0.0,4.5,46.3,50.8,シーラーズ - イラン ,29.53,52.6
8,8,3.0280429594272102,21.5,31.7,56.7,35.6,11.3,7.6,3.5,6.8,23.8,23.9,27.5,タブリーズ - イラン ,38.08,46.28
9,9,4.43019093078759,29.2,31.4,49.4,15.9,2.4,2.5,0.6,1.2,13.8,32.9,34.8,テヘラン/メフラバード - イラン ,35.68,51.32
10,10,3.5799522673031,33.7,57.3,47.9,33.9,5.5,1.3,1.0,0.9,7.8,19.3,19.5,マシュハド - イラン ,36.27,59.63
11,11,1.52147971360382,5.8,14.0,3.8,10.4,131.5,210.9,171.0,139.2,41.6,15.8,3.1,アコラ - インド ,20.7,77.03
12,12,4.14677804295943,40.1,30.2,21.7,22.7,83.2,195.2,179.0,96.3,16.6,9.0,10.8,アムリッツァー - インド ,31.63,74.87
13,13,2.25238663484487,23.4,15.2,4.9,13.8,84.8,216.7,184.6,188.3,22.5,2.0,4.2,アラハバード - インド ,25.45,81.73
14,14,0.164081145584726,0.9,1.0,2.5,5.5,79.3,321.3,236.9,122.6,12.1,1.9,0.7,アーメダバード - インド ,23.07,72.63
15,15,0.9994033412887829,2.5,3.1,3.5,13.2,140.4,307.9,277.5,174.5,30.5,10.7,3.9,インドール - インド ,22.72,75.8
16,16,2.07338902147971,18.6,14.4,43.6,60.4,165.0,281.3,310.9,214.1,127.7,23.3,3.9,カタック - インド ,20.47,85.93
17,17,1.6557279236276898,17.7,51.7,177.5,258.3,309.3,283.2,268.5,185.8,107.0,10.2,4.6,ガウハーティ - インド ,26.1,91.58
18,18,0.14916467780429601,4.7,12.2,83.4,222.7,802.0,775.0,428.5,299.4,310.2,122.5,19.6,コジコーデ - インド ,11.25,75.78
19,19,1.77505966587112,23.8,37.6,55.5,129.4,279.1,387.8,369.9,319.2,177.1,34.8,6.0,コルカタ - インド ,22.53,88.33
