,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,popup,lat,lon
1,0.2,2.4,9.1,14.7,19.6,24.6,26.8,26,22,15.7,8.5,3.5,カブール - アフガニスタン ,34.55,69.22
2,7,9.8,16.4,22.3,27.9,31.9,33.7,31.5,26.4,20.2,13.5,8.2,カンダハール - アフガニスタン ,31.5,65.85
3,5,7.5,13.5,18.7,25.5,30,31.3,29.3,24.9,17.7,10.4,6.2,ヘラート - アフガニスタン ,34.22,62.22
4,18.5,20.8,24.2,29.2,33.7,36,37.2,37.2,34.4,30.4,24.8,20.4,アイン - アラブ首長国連邦 ,24.27,55.6
5,19,20,23,27,31,33,35,36,33,29,25,21,アブダビ国際空港 - アラブ首長国連邦 ,24.43,54.65
6,18.5,19.9,22.7,26.9,31.4,33.8,35.5,35.3,32.6,29.1,24.3,20.4,シャルジャ国際空港 - アラブ首長国連邦 ,25.33,55.52
7,19.9,21.1,23.6,27.8,31.9,34,35.8,36,33.7,30.4,25.9,21.9,ドゥバイ - アラブ首長国連邦 ,25.25,55.33
8,13,15,20,26,32,36,37,37,33,28,19,14,アバダーン - イラン ,30.37,48.25
9,-1.5,0.3,4.4,9.5,13.5,16.7,18.8,18.8,15.6,11.7,5.4,0.2,アルダビール - イラン ,38.22,48.32
10,3.8,7.1,12,16,22,28,30,28,24,18,10,5.8,イスファハーン - イラン ,32.52,51.71
11,15,17.8,22.3,28.5,34.2,37.8,38,36.7,33.5,28.3,21.5,16.5,イラーンシャハル - イラン ,27.2,60.7
12,4.6,5.6,9.6,15,20.1,26,28.7,28.6,24.5,19.1,11.1,6.5,イーラーム - イラン ,33.63,46.43
13,-1,1,6.2,11,16,21,24,24,19,13,5.9,0.7,ウルミエ - イラン ,37.65,45.05
14,5.3,7.8,11,17,22,26,27,25,22,16,10,6.8,ケルマーン - イラン ,30.25,56.97
15,2,5.1,9.6,13,19,25,29,29,24,17,9.5,4.4,ケルマーンシャー - イラン ,34.35,47.15
16,7.8,10,15,21,25,28,29,27,23,19,13,9,ザーヘダーン - イラン ,29.47,60.88
17,-1.1,1.8,6,10.8,15.4,20.3,23.7,22.5,18,12.7,6.5,1.3,シャハレコルド - イラン ,32.28,50.85
18,6.3,9.2,13,17,24,29,31,30,25,19,12,8.3,シーラーズ - イラン ,29.53,52.6
19,0,1.6,6.8,12,17,23,27,27,22,15,7,1.4,タブリーズ - イラン ,38.08,46.28
20,4.9,7.2,11,17,23,28,31,30,26,19,11,6.7,テヘラン/メフラバード - イラン ,35.68,51.32
21,6.6,10,15.5,21.7,27.4,31.7,32.8,31.2,26.9,20.8,13.8,8.4,ネフバンダーン - イラン ,31.53,60.03
22,16.9,17.5,20.9,25.4,30.4,33.5,35.1,35.3,33.6,30,24,19,ハールク島 - イラン ,29.27,50.27
23,17.8,19.7,22.8,27.2,31.5,33.7,34.5,34,32.4,29.3,24.1,19.5,バンダレアッバース国際空港 - イラン ,27.22,56.37
24,15.5,16.6,20,24.9,29.6,31.5,33.5,34.1,32,28.3,22.4,17.9,ブーシェヘル - イラン ,28.95,50.85
25,15.4,16.8,20.2,24.9,29.9,32,33.7,34,32.1,28.1,22.2,17.2,ブーシェヘル AIRPORT - イラン ,28.97,50.82
26,4.3,6.5,10.4,14.8,19.9,26,29.7,29.2,24.4,18.7,10.9,6,ホッラマーバード - イラン ,33.43,48.28
27,1.1,3.1,7.9,12.9,18.5,23.7,26.4,24.9,20.8,14.2,7.2,2.6,ボジヌールド - イラン ,37.47,57.33
28,3.3,5.2,9.9,15,21,26,28,27,22,16,9.4,5.1,マシュハド - イラン ,36.27,59.63
29,6.8,10.2,15.5,20.9,26.5,31.6,33.7,31.5,27.6,21.1,13.1,8.3,ヤズド - イラン ,31.9,54.28
30,21,23.8,27.9,31.5,32.7,28.8,26,25.3,25.8,25.6,23.3,20.9,アウランガーバード/CHIKALTHA - インド ,19.85,75.4
31,17.5,21.1,25.6,27.9,28.2,28.4,28.3,28.6,28.1,27,23.4,19.1,アガルタラ - インド ,23.88,91.25
32,21,24,28,33,35,31,28,27,27,27,24,22,アコラ - インド ,20.7,77.03
33,24.5,27,30.5,32.9,32.7,30.2,28.9,28.3,28,27.3,25.4,23.8,アナンタプル - インド ,14.58,77.63
34,11,14,19,25,30,31,30,29,28,24,18,12,アムリッツァー - インド ,31.63,74.87
35,15,19,25,31,34,33,30,29,29,27,23,18,アラハバード - インド ,25.45,81.73
36,20,22,27,31,34,33,29,28,29,28,25,21,アーメダバード - インド ,23.07,72.63
37,18,21,25,30,32,30,26,25,25,25,22,19,インドール - インド ,22.72,75.8
