,Unnamed: 0,J,2,3,4,5,6,7,8,9,10,11,12,popup,lat,lon
0,0,86.43678160919539,28.1,27.8,27.1,26.3,25.6,24.8,24.3,24.7,25.4,27.0,27.6,ヌクノノ島 - トケラウ諸島 ,-9.25,-171.97
1,1,82.98850574712642,26.7,26.7,25.7,24.3,23.2,22.5,22.4,22.9,23.6,24.8,25.6,ラロトンガ島 - クック諸島 ,-21.25,-159.87
2,2,3.2183908045976977,-5.7,-5.3,1.5,7.1,11.3,13.6,13.0,9.3,2.8,-3.4,-6.3,イリアムナ／イリアムナ空港 - アメリカ合衆国（アラスカ） ,59.8,-154.97
3,3,15.172413793103448,-1.6,-0.4,3.9,8.1,11.4,13.5,13.4,9.7,4.6,-0.2,-2.0,スアード〔アラスカ州〕 - アメリカ合衆国（アラスカ） ,60.17,-149.5
4,4,1.6091954022988488,-6.0,-3.5,3.6,9.5,13.4,15.1,13.5,9.2,2.4,-5.3,-7.5,パーマー - アメリカ合衆国（アラスカ） ,61.65,-149.13
5,5,15.402298850574711,-1.6,-0.7,3.4,7.5,10.8,12.6,12.2,9.1,4.7,-0.2,-1.7,コルドバ - アメリカ合衆国（アラスカ） ,60.55,-145.55
6,6,18.160919540229887,-1.2,0.1,4.0,8.3,11.4,13.2,12.9,9.5,5.1,0.5,-1.1,グステーブス〔アラスカ州〕 - アメリカ合衆国（アラスカ） ,58.47,-135.78
7,7,28.04597701149425,2.7,2.9,6.0,9.0,11.7,13.7,14.1,11.8,8.0,4.6,3.1,シトカ - アメリカ合衆国（アラスカ） ,57.12,-135.4
8,8,17.93103448275862,-1.0,0.5,5.0,9.5,12.7,14.0,13.4,10.1,5.7,1.1,-0.9,ジュノー - アメリカ合衆国（アラスカ） ,58.42,-134.63
9,9,21.379310344827584,0.0,1.9,5.5,9.6,12.4,13.7,13.5,10.8,6.4,2.4,0.0,ピーターズバーグ - アメリカ合衆国（アラスカ） ,56.87,-133.02
10,10,21.609195402298848,1.0,2.9,6.3,10.0,12.9,14.2,14.1,11.4,7.4,3.3,1.0,ランゲル〔アラスカ州〕 - アメリカ合衆国（アラスカ） ,56.53,-132.42
11,11,26.666666666666668,2.3,3.2,6.2,9.9,12.8,14.7,14.9,11.9,7.8,4.2,2.4,ケチカン国際空港 - アメリカ合衆国（アラスカ） ,55.4,-131.75
12,12,35.86206896551724,5.6,6.0,7.6,9.6,11.3,13.4,14.4,13.5,10.8,7.6,6.0,セントジェームズ岬〔ブリティッシュコロンビア州〕 - カナダ ,51.99,-131.07
13,13,27.586206896551722,3.6,4.2,6.7,9.5,12.1,13.7,14.2,12.1,8.5,5.0,3.1,プリンスルーパート〔ブリティッシュコロンビア州〕 - カナダ ,54.34,-130.5
14,14,0.45977011494252706,-7.2,-2.7,2.9,8.0,11.5,13.5,12.7,8.7,2.8,-3.7,-9.2,バーンズレーク〔ブリティッシュコロンビア〕 - カナダ ,54.43,-126.01
15,15,27.586206896551722,3.2,5.3,8.3,12.4,15.3,18.5,18.5,15.1,9.7,4.9,1.9,ポートアルバーニ〔ブリティッシュコロンビア州〕 - カナダ ,49.37,-124.98
16,16,31.264367816091955,4.2,6.0,8.9,12.9,15.7,18.4,18.2,14.8,9.6,5.9,3.8,コーマックス〔ブリティッシュコロンビア〕 - カナダ ,49.77,-124.95
17,17,8.735632183908043,-4.7,-0.3,4.8,11.2,15.2,17.7,17.4,13.5,7.7,2.8,-1.8,サンタガトデモン〔ケベック州〕 - カナダ ,49.88,-124.53
18,18,31.264367816091955,4.4,6.3,8.9,13.6,15.8,18.9,19.0,15.7,10.6,6.3,3.5,ケントビル〔ノバスコシア〕 - カナダ ,49.57,-123.53
19,19,32.643678160919535,5.2,6.7,9.0,12.1,15.0,17.0,16.9,14.4,10.0,6.5,4.4,ビクトリア国際空港〔ブリティッシュコロンビア〕 - カナダ ,48.7,-123.48
20,20,35.63218390804598,5.9,7.5,9.7,12.9,15.4,17.7,17.6,15.0,10.8,7.5,5.5,ビクトリア大学〔ブリティッシュコロンビア〕 - カナダ ,48.51,-123.36
21,21,31.95402298850574,5.0,6.8,9.4,13.2,15.7,18.3,18.6,15.9,10.6,6.3,3.9,ウェストバンクーバー〔ブリティッシュコロンビア〕 - カナダ ,49.4,-123.24
22,22,26.206896551724128,3.7,5.8,9.1,13.1,15.7,18.4,18.3,15.0,9.6,4.6,1.3,スカミッシュ〔ブリティッシュコロンビア〕 - カナダ ,49.83,-123.21
23,23,34.48275862068966,5.9,7.6,10.4,14.0,16.5,18.9,18.9,15.8,11.2,7.5,5.2,バンクーバーハーバー - カナダ ,49.34,-123.17
24,24,33.33333333333333,5.8,7.5,9.9,13.2,15.6,18.9,18.8,16.2,11.2,7.0,4.1,フォートルイス軍用地〔ワシントン〕 - アメリカ合衆国 ,47.17,-122.6
25,25,33.33333333333333,5.7,7.7,9.7,13.1,15.6,18.6,18.7,16.0,11.0,6.9,4.4,タコマ〔ワシントン〕 - アメリカ合衆国 ,47.2,-122.53
26,26,45.51724137931034,11.6,12.9,14.2,15.6,17.2,17.8,18.2,18.4,16.7,12.8,10.2,オークランド〔カリフォルニア〕 - アメリカ合衆国 ,37.79,-122.27
27,27,46.4367816091954,11.8,13.5,14.9,16.9,19.1,20.0,20.2,19.9,17.7,13.5,10.4,マウンテンビュー（サニーベール）／〔カリフォルニア州〕 - アメリカ合衆国 ,37.47,-122.1
28,28,18.620689655172406,1.0,5.6,10.3,15.7,19.4,23.0,22.4,17.2,9.7,3.3,-1.3,リルエット〔ブリティッシュコロンビア〕 - カナダ ,50.73,-121.98
29,29,19.080459770114942,2.2,5.8,10.4,14.9,18.3,22.3,22.0,17.5,10.1,3.5,-0.9,リットン〔ブリティッシュコロンビア州〕 - カナダ ,50.27,-121.63
30,30,6.4367816091954,-3.7,-0.2,4.3,8.9,12.3,16.0,15.5,11.1,4.2,-2.6,-6.6,クリントン〔ブリティッシュコロンビア〕 - カナダ ,51.2,-121.55
31,31,36.091954022988496,8.6,11.5,14.6,19.2,23.1,26.0,25.1,22.2,16.4,10.6,5.7,マーセッド〔カリフォルニア〕 - アメリカ合衆国 ,37.42,-120.62
32,32,9.885057471264364,-3.0,2.2,6.8,11.6,14.8,18.6,18.2,13.7,6.6,-0.4,-5.4,プリンストン〔ブリティッシュコロンビア〕 - カナダ ,49.52,-120.56
